area,district,confidence
Al Reem Island,Al Reem Island,1.0
Reem Island,Al Reem Island,0.95
Yas Island,Yas Island,1.0
Yas,Yas Island,0.9
Saadiyat Island,Saadiyat Island,1.0
Saadiyat,Saadiyat Island,0.9
Al Maryah Island,Al Maryah Island,1.0
Al Raha Beach,Al Raha Beach,1.0
Masdar City,Masdar City,1.0
Khalifa City,Khalifa City,1.0
Mohammed Bin Zayed City,Mohammed Bin Zayed City,1.0
Zayed City,Zayed City,1.0
Al Bateen,Al Bateen,1.0
Corniche,Corniche,1.0
Al Khalidiyah,Al Khalidiyah,1.0
Al Zahiyah,Al Zahiyah,1.0
Danet Abu Dhabi,Danet Abu Dhabi,1.0
Al Ghadeer,Al Ghadeer,1.0
Al Reef,Al Reef,1.0
Al Bahia,Al Bahia,1.0
Al Shamkha,Al Shamkha,1.0
Shamkha,Al Shamkha,0.9
Al Maqta,Al Maqta,1.0
Maqta,Al Maqta,0.9
Mussafah,Mussafah,1.0
Mussafah Industrial,Mussafah,0.9
Al Reem,Al Reem Island,0.9
Maryah Island,Al Maryah Island,0.9
Raha Beach,Al Raha Beach,0.9
Khalidiyah,Al Khalidiyah,0.9
